"CaseReferenceNumber"	"MotionID"	"CaseLocation"	"CaseMajorCode"	"CaseMinorCode"	"CaseTrialListType"	"CaseMarkingCode"	"CaseDispositionJudgeJurisNo"	"CaseDispositionDocketLegendCode"	"MotionResultCode"	"MotionFilingParty"	"MotionDocketLegendCode"	"MotionJurisNumber"	"MotionDocumentPriorityCode"	"CaseAttorneyJuris"	"CaseAttorneyType"	"MotionTimeDuration"	"MotionDocumentTypeName"	"SelfRepBeforeMotionFileCount"	"SelfRepBeforeMotionDecidedCount"	"SelfRepBeforeMotionFileBool"	"SelfRepBeforeMotionDecidedBool"
207	1751	"FBT"	"V"	1	9	16	416586	"JDGDACT"	"GR"	"D"	"MSTRIKE"	418027	30	418027	"J"	78	"MOTION TO STRIKE"	1	1	TRUE	TRUE
1472	10915	"FBT"	"V"	1	9	16	NA	"WDACT"	"DN"	"P"	"MSTRIKE"	416586	30	416586	"R"	22	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1494	11050	"NNI"	"V"	1	9	16	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	422392	30	422392	"J"	285	"MOTION TO STRIKE"	0	0	FALSE	FALSE
371	2708	"LLI"	"T"	90	-1	NA	418028	"SJD"	"OR"	"D"	"MSTRIKE"	418028	30	418028	"R"	120	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1422	10373	"HHD"	"T"	2	-1	NA	422394	"SJ"	"GR"	"D"	"MSTRIKE"	81181	30	81181	"R"	153	"MOTION TO STRIKE"	0	0	FALSE	FALSE
473	3334	"FST"	"V"	1	9	15	419135	"JDGACTD"	"OF"	"D"	"MSTRIKE"	416586	30	416586	"R"	17	"MOTION TO STRIKE"	0	0	FALSE	FALSE
4469	40967	"MMX"	"T"	29	9	14	402017	"JDGSTP"	"DN"	"D"	"MSTRIKE"	403965	30	403965	"J"	79	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1684	12536	"HHD"	"V"	1	9	16	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	406511	30	406511	"R"	167	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2925	23861	"HHD"	"V"	9	9	1	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	186	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2925	23872	"HHD"	"V"	9	9	1	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	104	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2048	15036	"FST"	"V"	1	1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	420175	30	420175	"R"	60	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3037	25265	"NNH"	"V"	1	-1	NA	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	80627	30	80627	"R"	32	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1906	14005	"FBT"	"T"	12	9	16	412184	"JDGDACT"	"OR"	"P"	"MSTRIKE"	414997	30	414997	"R"	152	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2967	24300	"KNO"	"V"	1	-1	NA	411102	"WDACT"	"OR"	"D"	"MSTRIKE"	415595	30	415595	"R"	118	"MOTION TO STRIKE"	0	0	FALSE	FALSE
4605	42786	"FBT"	"T"	90	9	16	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	413629	30	413629	"J"	206	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3414	29352	"FBT"	"V"	1	9	16	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	419018	30	419018	"R"	91	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2426	18651	"HHB"	"V"	1	9	16	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	422679	30	422679	"J"	40	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2421	18605	"HHB"	"V"	1	9	16	80343	"JDGDACT"	"GR"	"D"	"MSTRIKE"	80096	30	80096	"R"	131	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3340	28562	"HHB"	"V"	1	-1	NA	411103	"WDACT"	"OR"	"D"	"MSTRIKE"	415596	30	415596	"R"	77	"MOTION TO STRIKE"	0	0	FALSE	FALSE
5428	51172	"NNH"	"V"	1	9	17	415132	"JDGTVT"	"GR"	"P"	"MSTRIKE"	408552	30	408552	"R"	153	"MOTION TO STRIKE"	0	0	FALSE	FALSE
5440	51337	"FST"	"T"	90	9	15	416590	"JODD"	"DN"	"D"	"MSTRIKE"	402358	30	402358	"R"	441	"MOTION TO STRIKE"	0	0	FALSE	FALSE
5433	51249	"NNI"	"T"	90	3	16	422678	"JDGACTP"	"OD"	"D"	"MSTRIKE"	408307	30	408307	"J"	NA	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3647	32197	"FST"	"V"	1	1	NA	402358	"JODD"	"OF"	"D"	"MSTRIKE"	409667	30	409667	"K"	2499	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3647	32227	"FST"	"V"	1	1	NA	402358	"JODD"	"DN"	"D"	"MSTRIKE"	420175	30	420175	"R"	136	"MOTION TO STRIKE"	0	0	FALSE	FALSE
5842	54959	"HHD"	"T"	90	9	18	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	81290	30	81290	"R"	202	"MOTION TO STRIKE"	0	0	FALSE	FALSE
6001	58343	"HHD"	"T"	90	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	415596	30	415596	"R"	137	"MOTION TO STRIKE"	0	0	FALSE	FALSE
5990	58161	"KNL"	"T"	90	3	14	411103	"WDACT"	"SU"	"D"	"MSTRIKE"	80551	30	80551	"R"	23	"MOTION TO STRIKE"	0	0	FALSE	FALSE
6001	58358	"HHD"	"T"	90	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	81181	30	81181	"R"	90	"MOTION TO STRIKE"	0	0	FALSE	FALSE
6067	58980	"FBT"	"V"	1	9	16	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	402018	30	402018	"R"	99	"MOTION TO STRIKE"	0	0	FALSE	FALSE
4366	39769	"HHD"	"T"	90	8	2	419022	"JDGHD"	"GR"	"D"	"MSTRIKE"	422683	30	422683	"J"	19	"MOTION TO STRIKE"	0	0	FALSE	FALSE
916	5836	"HHD"	"T"	3	9	13	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	422394	30	422394	"J"	196	"MOTION TO STRIKE"	0	0	FALSE	FALSE
916	5840	"HHD"	"T"	3	9	13	411103	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	154	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1017	6503	"HHD"	"V"	1	-1	NA	81290	"SJD"	"DN"	"D"	"MSTRIKE"	415596	30	415596	"R"	92	"MOTION TO STRIKE"	0	0	FALSE	FALSE
6377	62672	"HHD"	"V"	1	9	13	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	407899	30	407899	"J"	33	"MOTION TO STRIKE"	0	0	FALSE	FALSE
6221	60933	"DBD"	"T"	30	3	16	89999	"WDACT"	"DN"	"D"	"MSTRIKE"	418030	30	418030	"R"	39	"MOTION TO STRIKE"	0	0	FALSE	FALSE
6279	61603	"FBT"	"V"	1	9	16	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	412184	30	412184	"R"	26	"MOTION TO STRIKE"	0	0	FALSE	FALSE
6515	64304	"NNI"	"V"	1	9	16	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	408307	30	408307	"J"	18	"MOTION TO STRIKE"	0	0	FALSE	FALSE
6554	64891	"HHD"	"T"	20	9	13	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	420170	30	420170	"J"	131	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8519	86866	"UWY"	"T"	3	-1	NA	411103	"WDACT"	"DN"	"P"	"MSTRIKE"	415667	30	415667	"R"	67	"MOTION TO STRIKE"	0	0	FALSE	FALSE
7785	78599	"UWY"	"V"	1	-1	NA	411103	"WDACT"	"OR"	"D"	"MSTRIKE"	418027	30	418027	"J"	32	"MOTION TO STRIKE"	0	0	FALSE	FALSE
7700	77729	"UWY"	"V"	1	-1	NA	411094	"WDACT"	"GR"	"D"	"MSTRIKE"	420172	30	420172	"J"	711	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8545	87150	"KNL"	"V"	1	-1	NA	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	58	"MOTION TO STRIKE"	0	0	FALSE	FALSE
7821	79061	"UWY"	"T"	3	9	15	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	418027	30	418027	"J"	381	"MOTION TO STRIKE"	0	0	FALSE	FALSE
7895	79752	"UWY"	"T"	90	9	14	411103	"WOARD"	"GR"	"P"	"MSTRIKE"	80209	30	80209	"R"	147	"MOTION TO STRIKE"	0	0	FALSE	FALSE
7967	80754	"LLI"	"V"	1	3	2	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	420172	30	420172	"J"	21	"MOTION TO STRIKE"	0	0	FALSE	FALSE
7791	78667	"HHB"	"T"	3	3	16	411094	"WDACT"	"GR"	"D"	"MSTRIKE"	80096	30	80096	"R"	32	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8199	83115	"FBT"	"V"	1	-1	NA	413629	"JDGTVTP"	"DN"	"D"	"MSTRIKE"	402018	30	402018	"R"	24	"MOTION TO STRIKE"	0	0	FALSE	FALSE
6835	67792	"FBT"	"V"	1	8	16	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	408552	30	408552	"R"	57	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8108	82209	"UWY"	"V"	1	9	1	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	425580	30	425580	"R"	56	"MOTION TO STRIKE"	0	0	FALSE	FALSE
6982	69500	"HHD"	"V"	5	3	1	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	408382	30	408382	"J"	53	"MOTION TO STRIKE"	0	0	FALSE	FALSE
7126	71030	"FBT"	"T"	3	9	16	416586	"JDGDACT"	"GR"	"P"	"MSTRIKE"	412184	30	412184	"R"	35	"MOTION TO STRIKE"	0	0	FALSE	FALSE
7237	72184	"KNL"	"T"	28	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	80541	30	80541	"J"	327	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8303	84171	"NNH"	"T"	40	3	14	419136	"JDGACTD"	"DN"	"D"	"MSTRIKE"	415132	30	415132	"J"	707	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8887	91094	"HHD"	"T"	20	-1	NA	NA	"WDACT"	"OR"	"P"	"MSTRIKE"	415596	30	415596	"R"	704	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8887	91237	"HHD"	"T"	20	-1	NA	NA	"WDACT"	"OR"	"P"	"MSTRIKE"	415596	30	415596	"R"	35	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8373	85059	"HHD"	"V"	1	9	13	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	406509	30	406509	"J"	31	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8985	92365	"FBT"	"V"	1	9	16	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	413629	30	413629	"J"	214	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8887	91051	"HHD"	"T"	20	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	412185	30	412185	"R"	134	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8897	91419	"HHD"	"T"	20	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	412185	30	412185	"R"	134	"MOTION TO STRIKE"	0	0	FALSE	FALSE
8897	91426	"HHD"	"T"	20	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	412185	30	412185	"R"	98	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9055	93280	"UWY"	"T"	28	9	16	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	415542	30	415542	"J"	140	"MOTION TO STRIKE"	0	0	FALSE	FALSE
7418	74308	"LLI"	"V"	1	9	1	411103	"WDACT"	"GR"	"P"	"MSTRIKE"	418028	30	418028	"R"	28	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9203	95270	"FST"	"T"	90	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	422396	30	422396	"R"	102	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9203	95241	"FST"	"T"	90	-1	NA	NA	"WDACT"	"OF"	"D"	"MSTRIKE"	402358	30	402358	"R"	21	"MOTION TO STRIKE"	0	0	FALSE	FALSE
7527	75483	"FBT"	"V"	1	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	419018	30	419018	"R"	249	"MOTION TO STRIKE"	0	0	FALSE	FALSE
12133	127745	"HHB"	"V"	1	-1	NA	412190	"JDGDACT"	"GR"	"D"	"MSTRIKE"	412190	30	412190	"R"	113	"MOTION TO STRIKE"	0	0	FALSE	FALSE
12129	127652	"HHB"	"V"	1	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	412190	30	412190	"R"	113	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9635	99750	"HHD"	"T"	12	1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	80541	30	80541	"J"	166	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9635	99809	"HHD"	"T"	12	1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	412185	30	412185	"R"	98	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9635	99813	"HHD"	"T"	12	1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	412185	30	412185	"R"	98	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9635	99815	"HHD"	"T"	12	1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	412185	30	412185	"R"	98	"MOTION TO STRIKE"	0	0	FALSE	FALSE
12165	128230	"KNL"	"T"	90	9	14	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	76	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9635	99820	"HHD"	"T"	12	1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	412185	30	412185	"R"	62	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9439	98008	"NNH"	"T"	90	3	14	81378	"JDGACTD"	"GR"	"D"	"MSTRIKE"	81378	30	81378	"R"	530	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9721	101003	"KNL"	"V"	1	1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	80551	30	80551	"R"	34	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9623	99651	"HHD"	"V"	1	9	13	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	81290	30	81290	"R"	56	"MOTION TO STRIKE"	0	0	FALSE	FALSE
9757	101464	"FST"	"V"	1	1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	80626	30	80626	"R"	183	"MOTION TO STRIKE"	0	0	FALSE	FALSE
11425	120410	"FBT"	"V"	1	9	16	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	419018	30	419018	"R"	187	"MOTION TO STRIKE"	0	0	FALSE	FALSE
10277	107270	"HHD"	"V"	1	9	1	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	408382	30	408382	"J"	427	"MOTION TO STRIKE"	0	0	FALSE	FALSE
10237	106844	"KNL"	"T"	3	3	13	NA	"WDACT"	"OR"	"P"	"MSTRIKE"	80551	30	80551	"R"	60	"MOTION TO STRIKE"	0	0	FALSE	FALSE
11567	121746	"HHD"	"V"	1	9	13	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	415596	30	415596	"R"	55	"MOTION TO STRIKE"	0	0	FALSE	FALSE
10785	113431	"AAN"	"T"	12	9	15	411099	"WDACT"	"GR"	"D"	"MSTRIKE"	418026	30	418026	"J"	218	"MOTION TO STRIKE"	0	0	FALSE	FALSE
10743	112958	"FBT"	"T"	28	9	16	NA	"TOUSDCT"	"GR"	"D"	"MSTRIKE"	413629	30	413629	"J"	53	"MOTION TO STRIKE"	0	0	FALSE	FALSE
12535	132154	"TTD"	"T"	90	9	1	401704	"JDGSTP"	"DN"	"D"	"MSTRIKE"	412190	30	412190	"R"	21	"MOTION TO STRIKE"	0	0	FALSE	FALSE
10927	114919	"HHB"	"V"	1	9	17	415596	"JDGTVT"	"DN"	"D"	"MSTRIKE"	419137	30	419137	"R"	103	"MOTION TO STRIKE"	0	0	FALSE	FALSE
11023	116084	"HHD"	"T"	29	-1	NA	408307	"SJD"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	92	"MOTION TO STRIKE"	0	0	FALSE	FALSE
10901	114682	"HHB"	"T"	2	-1	NA	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	418029	30	418029	"J"	60	"MOTION TO STRIKE"	0	0	FALSE	FALSE
11023	116094	"HHD"	"T"	29	-1	NA	408307	"SJD"	"GR"	"D"	"MSTRIKE"	415596	30	415596	"R"	78	"MOTION TO STRIKE"	0	0	FALSE	FALSE
11114	116942	"HHD"	"T"	20	9	17	419022	"JDGTVTD"	"OR"	"D"	"MSTRIKE"	81290	30	81290	"R"	56	"MOTION TO STRIKE"	0	0	FALSE	FALSE
11039	116286	"UWY"	"T"	90	-1	NA	411093	"WDACT"	"DN"	"D"	"MSTRIKE"	413576	30	413576	"R"	220	"MOTION TO STRIKE"	0	0	FALSE	FALSE
11023	116102	"HHD"	"T"	29	-1	NA	408307	"SJD"	"GR"	"D"	"MSTRIKE"	422394	30	422394	"J"	242	"MOTION TO STRIKE"	0	0	FALSE	FALSE
11039	116328	"UWY"	"T"	90	-1	NA	411093	"WDACT"	"OR"	"D"	"MSTRIKE"	418033	30	418033	"R"	235	"MOTION TO STRIKE"	0	0	FALSE	FALSE
12661	133805	"FST"	"T"	28	9	15	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	409667	30	409667	"K"	86	"MOTION TO STRIKE"	0	0	FALSE	FALSE
11091	116809	"WWM"	"T"	90	9	16	403769	"JDGSTP"	"DN"	"D"	"MSTRIKE"	408306	30	408306	"R"	149	"MOTION TO STRIKE"	0	0	FALSE	FALSE
12588	132980	"FBT"	"V"	1	9	16	416586	"JDGDACT"	"OR"	"D"	"MSTRIKE"	413629	30	413629	"J"	33	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1017	6508	"HHD"	"V"	1	-1	NA	81290	"SJD"	"DN"	"D"	"MSTRIKE"	81181	30	81181	"R"	154	"MOTION TO STRIKE"	0	0	FALSE	FALSE
14372	153833	"DBD"	"V"	1	9	16	89999	"WDACT"	"GR"	"D"	"MSTRIKE"	419130	30	419130	"R"	154	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1308	9464	"NNI"	"V"	1	3	16	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	408307	30	408307	"J"	20	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1311	9480	"KNL"	"V"	1	9	14	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	71	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1297	8939	"KNL"	"V"	9	9	14	415595	"JDGDACT"	"OR"	"D"	"MSTRIKE"	80551	30	80551	"R"	28	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1305	9148	"UWY"	"V"	1	-1	NA	411103	"WDACT"	"OR"	"D"	"MSTRIKE"	418027	30	418027	"J"	279	"MOTION TO STRIKE"	0	0	FALSE	FALSE
15203	163574	"HHD"	"T"	20	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	81181	30	81181	"R"	132	"MOTION TO STRIKE"	0	0	FALSE	FALSE
14561	155983	"KNO"	"T"	90	-1	NA	NA	"WDACT"	"OF"	"P"	"MSTRIKE"	80551	30	80551	"R"	21	"MOTION TO STRIKE"	1	1	TRUE	TRUE
15407	165972	"AAN"	"T"	50	9	3	NA	"WDACT"	"DN"	"P"	"MSTRIKE"	418033	30	418033	"R"	81	"MOTION TO STRIKE"	0	0	FALSE	FALSE
15417	166194	"UWY"	"T"	90	9	16	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	408383	30	408383	"J"	107	"MOTION TO STRIKE"	1	1	TRUE	TRUE
13463	143430	"HHD"	"T"	90	9	1	NA	"WDACT"	"OR"	"P"	"MSTRIKE"	81290	30	81290	"R"	192	"MOTION TO STRIKE"	1	1	TRUE	TRUE
13593	144938	"HHD"	"T"	12	9	13	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	81290	30	81290	"R"	214	"MOTION TO STRIKE"	0	0	FALSE	FALSE
13623	145280	"HHD"	"V"	1	9	1	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	80591	30	80591	"R"	101	"MOTION TO STRIKE"	0	0	FALSE	FALSE
14909	160247	"HHD"	"T"	90	9	18	415593	"ARBJDG"	"GR"	"D"	"MSTRIKE"	80465	30	80465	"R"	42	"MOTION TO STRIKE"	0	0	FALSE	FALSE
13739	146657	"FST"	"V"	1	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	422677	30	422677	"J"	22	"MOTION TO STRIKE"	0	0	FALSE	FALSE
13683	146040	"HHD"	"V"	1	3	1	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	421	"MOTION TO STRIKE"	0	0	FALSE	FALSE
18289	197660	"LLI"	"V"	1	9	2	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	415597	30	415597	"R"	19	"MOTION TO STRIKE"	0	0	FALSE	FALSE
15574	168134	"LLI"	"T"	2	9	1	411103	"WDACT"	"OD"	"D"	"MSTRIKE"	89998	30	89998	"X"	14	"MOTION TO STRIKE"	0	0	FALSE	FALSE
13826	147812	"HHD"	"V"	5	1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	420170	30	420170	"J"	1154	"MOTION TO STRIKE"	0	0	FALSE	FALSE
14035	149886	"KNL"	"V"	1	9	13	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	80551	30	80551	"R"	47	"MOTION TO STRIKE"	0	0	FALSE	FALSE
14115	150907	"HHB"	"T"	2	9	16	411098	"WDACT"	"DN"	"D"	"MSTRIKE"	419137	30	419137	"R"	79	"MOTION TO STRIKE"	0	0	FALSE	FALSE
20997	227769	"FBT"	"T"	2	9	16	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	419018	30	419018	"R"	22	"MOTION TO STRIKE"	0	0	FALSE	FALSE
21007	227864	"FST"	"V"	1	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	421279	30	421279	"J"	20	"MOTION TO STRIKE"	0	0	FALSE	FALSE
18837	204219	"UWY"	"V"	1	-1	NA	411103	"WDACT"	"OR"	"D"	"MSTRIKE"	418027	30	418027	"J"	32	"MOTION TO STRIKE"	0	0	FALSE	FALSE
18889	204570	"AAN"	"T"	3	1	NA	81029	"JDGNST"	"GR"	"D"	"MSTRIKE"	419134	30	419134	"K"	24	"MOTION TO STRIKE"	0	0	FALSE	FALSE
19115	206662	"KNL"	"V"	1	1	NA	415595	"JDGNST"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	24	"MOTION TO STRIKE"	0	0	FALSE	FALSE
19115	206678	"KNL"	"V"	1	1	NA	415595	"JDGNST"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	1	"MOTION TO STRIKE"	0	0	FALSE	FALSE
23263	251539	"NNH"	"V"	5	8	3	80460	"JDGHD"	"GR"	"P"	"MSTRIKE"	405699	30	405699	"K"	21	"MOTION TO STRIKE"	0	0	FALSE	FALSE
19115	206679	"KNL"	"V"	1	1	NA	415595	"JDGNST"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	1	"MOTION TO STRIKE"	0	0	FALSE	FALSE
19115	206682	"KNL"	"V"	1	1	NA	415595	"JDGNST"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	38	"MOTION TO STRIKE"	0	0	FALSE	FALSE
23415	253059	"NNH"	"T"	3	8	4	413575	"JDGHD"	"GR"	"P"	"MSTRIKE"	415540	30	415540	"J"	2	"MOTION TO STRIKE"	1	1	TRUE	TRUE
23339	252422	"NNI"	"V"	1	9	16	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	408307	30	408307	"J"	192	"MOTION TO STRIKE"	0	0	FALSE	FALSE
19333	209549	"HHD"	"T"	90	3	13	415134	"SJD"	"DN"	"D"	"MSTRIKE"	81290	30	81290	"R"	201	"MOTION TO STRIKE"	0	0	FALSE	FALSE
23810	256878	"UWY"	"T"	12	9	4	411103	"WDACT"	"OD"	"D"	"MSTRIKE"	89998	30	89998	"X"	16	"MOTION TO STRIKE"	0	0	FALSE	FALSE
19676	213186	"UWY"	"V"	1	9	1	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	419131	30	419131	"J"	194	"MOTION TO STRIKE"	0	0	FALSE	FALSE
23851	257441	"HHD"	"T"	11	-1	NA	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	399	"MOTION TO STRIKE"	0	0	FALSE	FALSE
23983	258878	"UWY"	"T"	90	3	17	415667	"JDGTVT"	"GR"	"D"	"MSTRIKE"	422394	30	422394	"J"	329	"MOTION TO STRIKE"	1	1	TRUE	TRUE
23983	258911	"UWY"	"T"	90	3	17	415667	"JDGTVT"	"OR"	"D"	"MSTRIKE"	422394	30	422394	"J"	163	"MOTION TO STRIKE"	1	1	TRUE	TRUE
23983	258936	"UWY"	"T"	90	3	17	415667	"JDGTVT"	"OR"	"D"	"MSTRIKE"	422394	30	422394	"J"	125	"MOTION TO STRIKE"	1	1	TRUE	TRUE
24031	259775	"HHB"	"T"	12	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	412190	30	412190	"R"	85	"MOTION TO STRIKE"	0	0	FALSE	FALSE
24041	260092	"HHB"	"T"	12	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	412190	30	412190	"R"	85	"MOTION TO STRIKE"	0	0	FALSE	FALSE
23927	258226	"HHD"	"T"	12	9	13	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	161	"MOTION TO STRIKE"	0	0	FALSE	FALSE
24037	259937	"HHB"	"T"	12	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	412190	30	412190	"R"	85	"MOTION TO STRIKE"	0	0	FALSE	FALSE
24039	260010	"HHB"	"T"	12	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	412190	30	412190	"R"	85	"MOTION TO STRIKE"	0	0	FALSE	FALSE
23983	258998	"UWY"	"T"	90	3	17	415667	"JDGTVT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	36	"MOTION TO STRIKE"	1	1	TRUE	TRUE
23983	258970	"UWY"	"T"	90	3	17	415667	"JDGTVT"	"DN"	"D"	"MSTRIKE"	412185	30	412185	"R"	446	"MOTION TO STRIKE"	1	1	TRUE	TRUE
23983	259010	"UWY"	"T"	90	3	17	415667	"JDGTVT"	"OR"	"D"	"MSTRIKE"	412185	30	412185	"R"	237	"MOTION TO STRIKE"	1	1	TRUE	TRUE
24020	259638	"DBD"	"V"	1	-1	NA	89999	"WDACT"	"GR"	"D"	"MSTRIKE"	407901	30	407901	"K"	44	"MOTION TO STRIKE"	0	0	FALSE	FALSE
23967	258673	"HHD"	"V"	1	9	1	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	80465	30	80465	"R"	104	"MOTION TO STRIKE"	0	0	FALSE	FALSE
23983	259016	"UWY"	"T"	90	3	17	415667	"JDGTVT"	"DN"	"D"	"MSTRIKE"	412185	30	412185	"R"	170	"MOTION TO STRIKE"	1	1	TRUE	TRUE
