"CaseReferenceNumber"	"MotionID"	"CaseLocation"	"CaseMajorCode"	"CaseMinorCode"	"CaseTrialListType"	"CaseMarkingCode"	"CaseDispositionJudgeJurisNo"	"CaseDispositionDocketLegendCode"	"MotionResultCode"	"MotionFilingParty"	"MotionDocketLegendCode"	"MotionJurisNumber"	"MotionDocumentPriorityCode"	"CaseAttorneyJuris"	"CaseAttorneyType"	"MotionTimeDuration"	"MotionDocumentTypeName"	"SelfRepBeforeMotionFileCount"	"SelfRepBeforeMotionDecidedCount"	"SelfRepBeforeMotionFileBool"	"SelfRepBeforeMotionDecidedBool"
3478409	18885049	"FBT"	"T"	90	-1	NA	81185	"JWT"	"GR"	"D"	"MSTRIKE"	434442	30	434442	"J"	83	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3565486	18768157	"HHB"	"V"	1	9	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	428340	30	428340	"J"	40	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3618848	18768721	"FBT"	"V"	1	9	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	419018	30	419018	"R"	109	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3507582	18816760	"FBT"	"T"	28	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	434442	30	434442	"J"	21	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3622451	18815023	"LLI"	"T"	90	-1	NA	411094	"WDACT"	"OR"	"D"	"MSTRIKE"	418028	30	418028	"R"	60	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3607356	18770968	"HHD"	"V"	4	-1	NA	423187	"JWT"	"OR"	"D"	"MSTRIKE"	422683	30	422683	"J"	236	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3056511	18818836	"UWY"	"T"	90	9	15	411103	"WDACT"	"OR"	"D"	"MSTRIKE"	428420	30	428420	"J"	60	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3636154	18818557	"NNH"	"T"	12	-1	NA	NA	"WDACT"	"OF"	"D"	"MSTRIKE"	80110	30	80110	"R"	126	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3625118	18772391	"NNH"	"V"	1	9	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	408383	30	408383	"J"	124	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3601464	18771770	"HHB"	"T"	3	-1	NA	414025	"JDGDACT"	"OR"	"D"	"MSTRIKE"	414025	30	414025	"K"	46	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3648925	18774280	"HHD"	"V"	4	9	13	89999	"WDACT"	"DN"	"D"	"MSTRIKE"	434440	30	434440	"J"	60	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3570357	18774617	"TTD"	"T"	90	9	1	411103	"WDACT"	"GR"	"P"	"MSTRIKE"	431193	30	431193	"J"	46	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3635743	18773120	"NNH"	"V"	1	9	NA	427017	"JODD"	"DN"	"D"	"MSTRIKE"	419134	30	419134	"K"	90	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3635513	18820079	"HHD"	"T"	3	9	1	89999	"WDACT"	"DN"	"D"	"MSTRIKE"	415540	30	415540	"J"	48	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3630017	18775719	"DBD"	"V"	1	9	NA	89999	"WDACT"	"GR"	"D"	"MSTRIKE"	434450	30	434450	"J"	105	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1317595	18773572	"UWY"	"T"	40	-1	NA	408307	"JDGACTP"	"GR"	"D"	"MSTRIKE"	405705	30	405705	"J"	159	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3584294	18891524	"HHD"	"T"	90	3	1	89999	"WDACT"	"OR"	"D"	"MSTRIKE"	434440	30	434440	"J"	163	"MOTION TO STRIKE"	1	1	TRUE	TRUE
3571734	18776485	"HHB"	"V"	9	-1	NA	411103	"WDACT"	"OR"	"D"	"MSTRIKE"	414025	30	414025	"K"	90	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3630593	18891799	"FST"	"V"	1	9	3	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	433230	30	433230	"R"	63	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3486318	18821377	"FST"	"T"	90	9	3	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	434443	30	434443	"J"	244	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3567002	18822441	"MMX"	"V"	1	9	NA	418032	"JDGTVTD"	"DN"	"P"	"MSTRIKE"	402017	30	402017	"K"	85	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3633163	18778387	"KNL"	"V"	1	-1	13	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	433235	30	433235	"R"	137	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3624838	18823452	"FBT"	"V"	4	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	434442	30	434442	"J"	48	"MOTION TO STRIKE"	0	0	FALSE	FALSE
